crop_type,season,temperature,humidity,rainfall,soil_moisture,soil_ph,light_intensity,disease_label
Tomato,winter,25.03,59.47,0.0,47.52,6.7,95,Healthy
Potato,winter,21.65,56.98,0.0,60.27,5.95,41493,Healthy
Potato,winter,24.96,61.74,0.0,53.81,6.27,35179,Healthy
Tomato,winter,15.47,56.19,0.0,81.92,6.23,34,Healthy
Tomato,winter,20.73,50.57,0.0,45.85,6.7,20667,Verticillium Wilt
Potato,winter,25.91,58.71,0.0,37.19,6.1,33034,Healthy
Potato,winter,25.23,62.64,0.0,52.59,5.62,29469,Healthy
Tomato,winter,23.49,61.42,0.0,57.24,6.29,64,Verticillium Wilt
Tomato,winter,21.76,59.35,0.0,62.95,6.85,89,Healthy
Potato,winter,25.0,58.87,0.0,57.73,5.71,30642,Healthy
Tomato,winter,21.18,52.87,0.0,58.4,5.88,68,Verticillium Wilt
Potato,winter,16.26,59.07,0.0,67.08,6.18,4,Healthy
Tomato,winter,24.94,57.07,0.0,51.55,5.93,30958,Healthy
Tomato,winter,23.24,54.9,0.0,60.79,5.74,28,Healthy
Potato,winter,24.02,55.36,0.0,58.43,6.39,24538,Healthy
Potato,winter,20.88,55.25,0.0,46.89,5.5,30892,Healthy
Tomato,winter,20.36,64.95,0.0,52.53,7.05,34441,Verticillium Wilt
Potato,winter,21.53,59.64,0.0,58.99,5.72,26016,Healthy
Tomato,winter,22.34,60.12,0.0,63.15,6.77,34087,Healthy
Potato,winter,17.57,66.45,0.0,51.92,5.5,0,Healthy
Potato,winter,24.02,60.2,0.0,67.28,6.12,96,Healthy
Potato,winter,21.63,71.34,0.0,63.51,6.05,34332,Healthy
Potato,winter,24.32,57.56,0.0,38.22,5.5,50,Healthy
Potato,winter,23.6,51.42,0.0,37.41,6.18,12703,Healthy
Tomato,winter,27.14,64.21,0.0,59.24,6.69,30191,Healthy
Tomato,winter,23.14,58.67,0.0,47.33,6.81,40964,Verticillium Wilt
Tomato,winter,16.33,61.57,0.0,77.64,6.65,40793,Healthy
Potato,winter,21.46,55.57,0.0,47.92,5.58,32867,Healthy
Tomato,winter,20.37,58.46,0.0,45.56,6.24,13879,Verticillium Wilt
Potato,winter,22.24,64.04,0.0,53.99,5.5,90,Healthy
Potato,winter,20.12,65.06,0.0,63.74,5.8,51,Healthy
Tomato,winter,18.69,56.46,0.0,58.93,6.67,60,Healthy
Potato,winter,22.97,66.77,0.0,38.37,6.21,20019,Healthy
Potato,winter,22.72,54.97,0.0,42.24,5.71,32900,Healthy
Potato,winter,21.55,59.01,0.0,56.98,5.5,32407,Healthy
Potato,winter,20.49,66.84,0.0,47.6,5.78,36735,Healthy
Potato,winter,26.89,62.02,0.0,39.23,5.5,31,Healthy
Tomato,winter,25.86,68.07,0.0,45.65,6.89,85,Healthy
Potato,winter,23.43,71.43,2.35,68.0,5.92,1528,Early Blight
Potato,winter,23.65,64.88,1.32,53.1,6.02,39585,Healthy
Potato,winter,18.51,51.75,0.0,54.24,5.61,41958,Healthy
Tomato,winter,22.11,76.15,11.52,59.56,6.66,41,Early Blight
Tomato,winter,24.09,60.53,0.0,65.39,6.53,38888,Healthy
Potato,winter,22.07,51.82,3.2,55.1,6.64,30647,Healthy
Tomato,winter,22.1,55.23,0.0,56.26,6.89,3668,Verticillium Wilt
Potato,winter,20.03,65.18,0.0,46.49,5.93,0,Healthy
Tomato,winter,20.62,48.53,0.0,46.74,7.18,0,Verticillium Wilt
Tomato,winter,21.45,54.64,0.0,63.31,6.27,52,Healthy
Potato,winter,22.99,50.45,0.0,56.42,6.93,33,Healthy
Potato,winter,24.2,66.16,0.0,50.99,6.17,6060,Healthy
Potato,winter,22.43,59.55,0.0,55.61,6.15,34184,Healthy
Potato,winter,22.67,68.84,0.0,50.89,5.82,34701,Healthy
Potato,winter,20.81,59.45,0.0,75.66,6.0,20,Healthy
Tomato,winter,24.18,58.74,0.0,50.44,6.19,69,Healthy
Tomato,winter,23.63,48.97,0.0,61.5,6.72,32708,Early Blight
Tomato,winter,22.1,59.98,0.0,62.9,7.03,37163,Healthy
Tomato,winter,21.82,63.43,0.0,48.05,6.52,95,Verticillium Wilt
Potato,winter,19.1,60.21,0.0,60.51,6.04,5,Healthy
Potato,winter,21.71,63.98,0.0,71.47,6.01,18008,Healthy
Tomato,winter,24.34,65.68,0.0,54.92,6.64,40067,Healthy
Potato,winter,20.88,66.25,0.0,49.62,6.0,29247,Healthy
Potato,winter,21.26,56.66,0.0,59.66,5.5,56,Healthy
Tomato,winter,23.29,54.62,0.0,47.89,6.34,8,Verticillium Wilt
Tomato,winter,20.31,67.91,0.0,45.9,6.58,80,Verticillium Wilt
Tomato,winter,23.74,63.4,0.0,65.31,6.8,21,Healthy
Potato,winter,21.28,56.56,4.61,58.43,5.83,31780,Healthy
Tomato,winter,24.98,54.43,0.0,55.63,6.28,10297,Healthy
Potato,winter,23.72,60.2,0.0,48.93,6.35,39,Healthy
Tomato,winter,19.35,65.88,0.0,58.74,6.66,59,Healthy
Tomato,winter,25.18,58.71,0.0,50.04,5.5,70,Healthy
Tomato,winter,24.1,50.17,0.0,51.73,6.28,57,Healthy
Tomato,winter,21.92,63.95,8.21,55.29,6.51,35405,Verticillium Wilt
Potato,winter,21.41,65.74,8.33,62.29,6.3,38789,Healthy
Potato,winter,23.05,52.7,0.0,46.39,5.71,1351,Healthy
Tomato,winter,22.31,63.73,0.71,63.78,6.0,15480,Healthy
Tomato,winter,20.21,56.38,0.0,53.1,6.49,17049,Verticillium Wilt
Potato,winter,23.17,65.3,0.0,57.82,5.5,21,Healthy
Tomato,winter,19.39,58.41,0.0,65.19,6.68,2,Healthy
Potato,winter,18.48,55.54,0.0,71.1,6.3,16126,Healthy
Potato,winter,25.69,71.34,0.0,44.49,6.42,68,Healthy
Potato,winter,20.59,71.09,0.0,68.93,5.88,48,Healthy
Tomato,winter,20.2,66.31,0.0,55.41,5.56,0,Verticillium Wilt
Tomato,winter,26.98,63.33,0.0,55.41,6.48,45057,Healthy
Tomato,winter,18.99,69.14,0.0,71.14,7.09,19990,Healthy
Potato,winter,21.51,57.97,0.0,45.94,5.87,6869,Healthy
Tomato,winter,23.76,51.32,0.0,53.66,6.79,14255,Verticillium Wilt
Potato,winter,19.79,61.82,0.0,44.47,6.75,89,Healthy
Potato,winter,21.59,72.09,0.0,54.22,5.68,85,Healthy
Tomato,winter,21.26,59.27,0.0,59.65,6.33,32826,Verticillium Wilt
Tomato,winter,24.25,70.27,0.0,48.83,6.83,42120,Healthy
Potato,winter,24.04,57.08,0.0,48.07,5.5,30570,Healthy
Potato,winter,22.04,58.33,0.0,56.9,5.5,96,Healthy
Tomato,winter,21.07,60.68,0.0,47.3,6.07,42558,Verticillium Wilt
Potato,winter,20.43,55.24,0.0,40.01,6.05,31554,Healthy
Potato,winter,23.31,52.8,0.0,36.65,6.47,27,Healthy
Potato,winter,20.52,63.7,0.0,40.31,5.54,20593,Healthy
Potato,winter,24.14,58.34,0.0,47.02,5.6,23372,Healthy
Potato,winter,20.81,69.07,0.0,75.54,5.99,9,Healthy
Potato,winter,24.42,73.68,0.0,59.14,5.93,28,Healthy
Potato,winter,23.43,57.43,0.0,53.34,6.04,84,Healthy
Tomato,winter,22.77,57.86,0.0,56.92,6.51,0,Verticillium Wilt
Potato,winter,19.65,57.25,0.0,61.19,6.43,14194,Healthy
Tomato,winter,22.9,64.29,0.0,68.89,5.83,39302,Healthy
Tomato,winter,24.63,59.05,0.0,51.69,6.13,5525,Healthy
Potato,winter,23.96,54.67,0.0,44.9,5.69,29515,Healthy
Potato,winter,20.46,59.76,0.0,61.73,5.5,1283,Healthy
Tomato,winter,23.62,66.57,0.0,51.36,6.28,82,Verticillium Wilt
Potato,winter,20.66,54.44,0.0,53.21,6.36,20,Healthy
Potato,winter,23.47,54.24,0.0,65.31,5.5,33470,Healthy
Tomato,winter,23.31,54.54,0.0,65.28,6.94,39326,Healthy
Potato,winter,24.57,68.92,0.0,59.33,5.5,22661,Healthy
Tomato,winter,21.12,61.19,5.94,62.28,7.0,41040,Healthy
Tomato,winter,20.95,52.32,0.0,60.53,6.55,19450,Healthy
Potato,winter,21.27,59.19,0.0,61.78,5.66,67,Healthy
Potato,winter,22.21,59.06,0.0,33.52,5.86,16,Verticillium Wilt
Tomato,winter,19.28,52.87,0.0,63.27,6.43,82,Healthy
Tomato,winter,24.36,64.37,0.0,58.14,6.33,31853,Healthy
Potato,winter,21.24,53.94,0.0,57.52,6.01,88,Healthy
Potato,winter,22.27,61.29,0.0,44.92,5.5,7,Healthy
Tomato,summer,32.05,77.9,0.0,46.02,6.15,42,Healthy
Tomato,summer,33.75,68.98,28.09,72.88,7.38,11095,Healthy
Potato,summer,32.17,67.73,3.61,32.4,6.25,19558,Common Scab
Potato,summer,35.24,74.05,18.49,53.37,6.45,21,Early Blight
Potato,summer,29.17,65.21,0.0,42.63,6.14,14,Healthy
Potato,summer,35.59,72.81,0.0,25.54,5.59,58,Verticillium Wilt
Potato,summer,28.27,78.58,0.0,56.53,5.5,6276,Healthy
Tomato,summer,33.75,67.76,0.0,46.18,6.53,33835,Healthy
Tomato,summer,29.37,59.63,0.0,42.44,6.4,15897,Healthy
Potato,summer,32.64,71.09,0.0,42.05,6.28,89,Healthy
Potato,summer,32.34,63.88,0.0,60.29,5.5,66,Healthy
Tomato,summer,31.8,71.86,0.0,38.92,5.78,38,Healthy
Tomato,summer,31.46,67.23,0.0,39.48,6.03,18,Healthy
Tomato,summer,30.29,72.87,0.0,49.7,5.75,22932,Healthy
Potato,summer,34.41,71.01,0.0,42.08,5.85,39184,Healthy
Tomato,summer,29.38,72.92,0.0,25.79,6.08,12,Fusarium Wilt
Tomato,summer,37.76,61.0,0.0,26.64,6.66,30541,Fusarium Wilt
Potato,summer,33.46,75.49,0.0,37.49,5.5,15284,Healthy
Tomato,summer,33.04,83.12,0.0,36.69,7.09,29,Healthy
Potato,summer,30.91,63.82,0.0,25.65,5.5,15,Verticillium Wilt
Tomato,summer,31.23,74.33,0.0,40.53,6.85,1245,Healthy
Potato,summer,30.97,80.43,0.0,22.23,5.5,45269,Verticillium Wilt
Potato,summer,29.74,69.86,0.0,49.87,5.57,89,Healthy
Potato,summer,33.14,70.43,0.0,57.3,5.54,39845,Healthy
Potato,summer,31.43,67.55,0.0,23.44,6.17,31518,Verticillium Wilt
Potato,summer,32.57,67.77,18.41,45.11,5.89,24205,Healthy
Potato,summer,30.68,72.99,0.0,36.45,5.5,34968,Healthy
Tomato,summer,31.73,74.46,0.0,45.58,6.66,60,Healthy
Potato,summer,28.76,62.67,0.0,45.35,5.5,50,Healthy
Tomato,summer,31.16,73.04,0.0,59.52,6.35,42,Healthy
Tomato,summer,33.76,68.38,0.0,29.03,6.45,96,Fusarium Wilt
Potato,summer,32.42,74.07,0.0,51.21,6.21,17,Healthy
Tomato,summer,30.31,65.23,17.49,52.22,6.24,7,Healthy
Potato,summer,34.21,72.06,0.0,23.83,6.08,26730,Verticillium Wilt
Potato,summer,30.71,69.46,1.97,41.04,5.53,19747,Healthy
Tomato,summer,33.57,67.68,14.9,60.79,6.12,43,Healthy
Tomato,summer,29.84,65.63,0.0,41.8,6.95,7,Healthy
Tomato,summer,31.39,56.99,0.0,46.22,6.75,0,Healthy
Potato,summer,33.28,67.65,17.93,72.1,5.55,31711,Healthy
Potato,summer,32.79,66.49,8.79,40.57,5.5,30828,Healthy
Tomato,summer,25.4,77.23,0.0,64.87,6.7,46,Healthy
Tomato,summer,31.09,69.8,0.0,46.48,7.27,0,Healthy
Potato,summer,33.04,72.16,0.0,38.65,5.5,8,Healthy
Potato,summer,30.58,78.73,4.24,57.87,5.5,68,Healthy
Potato,summer,32.93,62.98,14.68,60.21,6.63,11604,Healthy
Potato,summer,26.52,68.47,0.0,35.05,5.98,78,Healthy
Tomato,summer,34.56,67.05,1.53,48.14,6.82,18530,Healthy
Potato,summer,33.0,56.42,0.0,52.9,5.5,22315,Healthy
Tomato,summer,30.69,58.11,0.0,55.71,6.53,9,Healthy
Potato,summer,34.78,74.65,5.29,15.05,6.39,71,Early Blight
Tomato,summer,30.15,68.55,0.0,54.6,6.01,5649,Healthy
Potato,summer,31.48,68.61,0.0,31.58,6.65,32771,Common Scab
Tomato,summer,36.99,74.81,0.0,15.91,6.96,74,Fusarium Wilt
Tomato,summer,33.8,69.51,0.0,41.64,6.97,38883,Healthy
Potato,summer,33.78,76.56,0.0,46.93,5.5,15398,Healthy
Potato,summer,32.53,82.75,20.18,47.38,6.47,0,Healthy
Potato,summer,32.57,69.93,12.81,37.45,5.5,89,Healthy
Tomato,summer,33.33,61.63,3.95,40.19,6.16,22,Healthy
Potato,summer,30.79,67.01,0.0,47.44,5.5,40690,Healthy
Tomato,summer,32.24,67.43,0.0,39.43,5.74,52,Healthy
Potato,summer,34.61,67.2,0.0,37.99,5.5,0,Healthy
Potato,summer,34.98,64.51,0.0,43.08,6.27,28616,Healthy
Potato,summer,33.2,81.45,1.91,29.57,5.5,23412,Early Blight
Tomato,summer,33.92,71.75,2.78,37.68,5.64,93,Anthracnose
Tomato,summer,32.55,70.37,0.0,29.32,6.86,25328,Fusarium Wilt
Tomato,summer,36.19,74.63,0.0,34.2,6.72,43,Fusarium Wilt
Tomato,summer,29.98,84.01,0.0,41.08,5.96,23500,Healthy
Potato,summer,29.98,60.06,21.64,52.86,5.9,27263,Healthy
Potato,summer,32.08,61.81,0.0,22.86,5.51,44972,Verticillium Wilt
Tomato,summer,35.13,74.04,0.52,47.62,6.08,25507,Anthracnose
Potato,summer,35.44,77.45,6.78,42.54,6.04,0,Early Blight
Potato,summer,33.52,64.31,0.0,43.81,5.5,12534,Healthy
Potato,summer,32.69,63.89,0.0,29.22,5.57,0,Verticillium Wilt
Potato,summer,31.05,68.59,9.99,59.47,6.06,28,Healthy
Tomato,summer,31.46,68.86,27.98,56.43,6.59,27414,Healthy
Tomato,summer,32.69,69.35,0.0,38.0,6.63,90,Healthy
Tomato,summer,32.3,76.03,2.06,35.62,6.7,0,Anthracnose
Potato,summer,27.84,64.34,0.0,48.46,5.96,43356,Healthy
Tomato,summer,32.69,69.12,37.08,64.68,6.62,16,Healthy
Tomato,summer,32.55,67.28,0.0,49.48,6.78,24936,Healthy
Tomato,summer,34.79,72.91,0.0,35.51,7.07,1306,Healthy
Potato,summer,35.6,60.95,0.0,31.17,5.5,36,Verticillium Wilt
Potato,summer,30.72,61.51,4.11,52.91,5.87,41324,Healthy
Potato,summer,32.81,75.05,0.0,37.7,5.82,22,Healthy
Potato,summer,30.84,66.72,4.22,37.69,6.18,35,Healthy
Potato,summer,27.48,62.42,0.0,67.82,6.11,21620,Healthy
Potato,summer,30.8,79.51,0.0,57.16,5.5,29836,Healthy
Tomato,summer,29.28,73.15,0.0,49.96,6.63,17980,Healthy
Potato,summer,29.64,82.83,14.66,52.03,5.51,29565,Healthy
Potato,summer,32.13,59.26,7.42,35.59,5.5,41078,Healthy
Tomato,summer,34.19,64.6,0.0,47.35,7.2,13408,Healthy
Tomato,summer,33.22,68.48,0.0,53.48,6.35,72,Healthy
Potato,summer,30.52,82.33,0.0,45.43,5.51,0,Healthy
Potato,summer,34.14,67.55,8.77,43.34,6.04,13,Healthy
Tomato,summer,27.07,59.52,0.0,56.88,6.91,42,Healthy
Tomato,summer,30.1,62.37,0.0,45.44,6.77,3106,Healthy
Potato,summer,30.94,67.11,0.0,47.42,5.85,25186,Healthy
Tomato,summer,31.96,68.71,27.21,80.97,6.47,7426,Healthy
Potato,summer,32.98,59.76,37.63,66.15,6.05,0,Healthy
Potato,summer,33.31,79.06,8.82,48.47,6.5,95,Healthy
Tomato,summer,33.37,61.06,0.0,40.53,6.02,14,Healthy
Potato,summer,32.36,61.7,0.0,38.5,6.31,32774,Healthy
Tomato,summer,30.27,53.74,29.11,57.85,6.28,33536,Healthy
Potato,summer,34.2,66.73,0.0,30.7,5.6,38,Verticillium Wilt
Potato,summer,34.51,79.85,24.5,57.03,5.51,53,Healthy
Tomato,summer,31.72,77.2,8.43,54.36,6.49,21581,Anthracnose
Potato,summer,31.73,67.76,0.0,38.14,5.5,33674,Healthy
Potato,summer,31.46,78.24,0.0,37.67,5.68,2144,Healthy
Tomato,summer,32.01,65.67,10.93,63.32,5.63,65,Healthy
Tomato,summer,30.92,73.72,0.0,39.88,5.84,36441,Healthy
Potato,summer,30.76,52.95,0.0,55.39,5.72,64,Healthy
Tomato,summer,32.9,67.22,0.0,45.06,6.69,84,Healthy
Tomato,summer,31.23,61.63,0.0,36.58,6.44,44636,Healthy
Tomato,summer,31.7,67.11,0.0,10.0,6.52,64,Fusarium Wilt
Potato,summer,29.77,71.31,0.0,21.8,6.21,6711,Verticillium Wilt
Tomato,summer,26.3,67.15,0.0,69.95,6.63,16608,Healthy
Tomato,summer,31.74,64.15,0.0,47.66,7.57,37,Healthy
Potato,summer,32.32,69.47,0.0,22.29,5.5,93,Verticillium Wilt
Tomato,summer,28.8,73.79,0.0,48.93,6.58,73,Healthy
Tomato,summer,28.24,70.96,0.0,40.55,6.47,64,Healthy
Potato,summer,32.27,68.3,0.0,42.32,5.92,47233,Healthy
Tomato,summer,34.73,65.36,0.0,20.14,7.04,1,Fusarium Wilt
Tomato,summer,33.54,79.56,0.0,33.39,6.42,78,Fusarium Wilt
Potato,summer,36.11,66.52,0.0,30.79,5.87,99,Verticillium Wilt
Tomato,summer,30.34,71.46,0.0,41.15,6.67,36588,Healthy
Tomato,summer,32.59,66.19,15.59,48.7,6.66,35,Healthy
Potato,summer,30.7,68.13,0.0,31.28,5.66,83,Verticillium Wilt
Potato,summer,33.08,80.85,0.0,51.08,5.8,40639,Healthy
Potato,summer,33.11,69.92,0.0,46.57,5.66,84,Healthy
Tomato,summer,26.81,79.29,0.0,50.64,5.88,38,Healthy
Tomato,summer,30.94,67.07,1.99,43.6,6.14,72,Healthy
Potato,summer,32.56,76.12,0.0,48.93,5.78,23352,Healthy
Potato,summer,31.63,73.7,0.0,51.69,6.59,38563,Healthy
Tomato,summer,30.8,87.74,4.89,35.21,6.19,10445,Anthracnose
Tomato,summer,35.33,70.74,4.98,39.71,6.27,0,Anthracnose
Tomato,summer,31.53,63.02,3.73,42.89,6.13,27,Healthy
Potato,summer,35.11,66.11,0.0,49.12,5.9,89,Common Scab
Potato,summer,26.42,67.21,0.0,55.43,5.83,6,Healthy
Tomato,summer,34.61,73.74,0.0,37.0,7.28,41,Healthy
Tomato,summer,34.65,70.44,0.0,27.8,6.08,42,Fusarium Wilt
Potato,summer,32.56,83.06,0.0,36.2,5.65,34101,Healthy
Potato,summer,28.05,59.73,23.3,71.72,5.9,27385,Healthy
Potato,summer,32.2,65.61,0.0,44.68,6.4,15945,Healthy
Tomato,summer,34.06,75.99,0.0,44.5,6.66,4944,Healthy
Tomato,summer,26.69,67.24,15.0,60.39,6.61,37841,Healthy
Potato,summer,27.62,67.86,0.0,51.36,5.57,39236,Healthy
Tomato,summer,29.87,77.27,0.0,36.77,7.33,19504,Healthy
Potato,summer,32.56,74.69,0.0,30.42,5.65,19278,Verticillium Wilt
Potato,summer,36.41,78.45,0.0,14.77,6.23,37344,Verticillium Wilt
Potato,summer,28.23,69.98,24.98,57.16,5.78,0,Healthy
Potato,summer,23.88,63.72,0.0,67.91,5.55,32,Healthy
Tomato,summer,32.16,59.45,0.0,49.4,6.39,22165,Healthy
Potato,summer,36.85,77.38,6.38,18.16,5.98,41599,Early Blight
Potato,summer,31.77,59.61,0.0,47.75,5.5,36781,Healthy
Tomato,summer,29.46,66.11,6.39,48.81,6.88,13560,Healthy
Tomato,summer,34.91,66.85,0.0,34.32,6.47,10926,Fusarium Wilt
Tomato,summer,32.99,81.14,0.0,41.71,6.44,11811,Healthy
Tomato,summer,27.84,81.43,0.0,53.8,6.6,55,Healthy
Potato,summer,32.59,59.58,1.66,36.04,5.5,49,Healthy
Tomato,summer,32.82,82.96,0.0,43.43,6.6,39871,Healthy
Potato,summer,30.31,65.84,0.0,39.28,5.57,83,Healthy
Tomato,summer,29.45,73.85,0.0,24.88,6.39,11,Fusarium Wilt
Tomato,summer,25.31,77.15,0.0,67.3,6.49,87,Healthy
Tomato,summer,33.36,71.17,0.0,38.44,6.89,68,Healthy
Tomato,summer,27.65,69.97,0.0,49.48,6.49,41749,Healthy
Potato,summer,30.38,66.93,2.24,50.98,5.65,6,Healthy
Tomato,summer,33.88,59.5,0.0,37.09,6.78,40749,Healthy
Potato,summer,33.95,83.7,17.27,41.75,5.64,28,Healthy
Potato,summer,35.97,75.35,7.07,45.87,5.94,42,Early Blight
Potato,summer,32.47,70.39,0.0,20.2,5.5,25901,Verticillium Wilt
Tomato,summer,26.16,76.46,0.0,53.6,6.42,41371,Healthy
Tomato,summer,32.74,66.83,0.0,40.88,6.12,22,Healthy
Potato,summer,30.28,67.09,0.0,40.08,6.09,46,Healthy
Potato,summer,32.02,76.06,21.57,51.6,5.72,26581,Healthy
Tomato,summer,30.66,71.08,0.0,40.8,6.55,8239,Healthy
Potato,summer,33.58,61.83,40.09,87.12,5.96,30,Healthy
Tomato,summer,29.54,64.11,0.0,49.69,6.33,64,Healthy
Potato,summer,28.83,79.81,0.0,48.11,5.65,40678,Healthy
Potato,summer,34.03,63.96,15.23,62.45,5.69,73,Healthy
Potato,summer,34.43,77.36,0.0,38.15,5.6,2646,Healthy
Tomato,summer,33.27,67.92,0.0,35.32,6.34,0,Healthy
Tomato,summer,34.22,62.44,0.0,41.28,5.9,80,Healthy
Potato,summer,28.84,73.56,26.73,41.49,5.55,93,Healthy
Tomato,summer,33.62,78.56,0.0,41.74,6.39,37404,Healthy
Tomato,summer,30.11,68.37,0.0,40.51,5.98,38405,Healthy
Tomato,summer,33.98,69.42,0.0,26.78,7.27,19982,Fusarium Wilt
Tomato,summer,28.85,74.37,0.0,38.71,6.21,99,Healthy
Potato,summer,33.74,77.48,16.13,48.16,6.08,28390,Healthy
Potato,summer,31.91,72.55,0.0,40.57,6.51,32265,Healthy
Tomato,summer,34.0,71.76,0.0,37.9,6.73,27468,Healthy
Potato,summer,35.83,60.61,0.0,37.49,5.81,20629,Common Scab
Tomato,summer,30.04,76.1,3.01,35.6,7.28,25954,Anthracnose
Potato,summer,34.61,59.74,15.08,46.97,6.18,76,Healthy
Potato,summer,28.19,71.38,0.0,33.72,6.17,56,Verticillium Wilt
Potato,summer,32.33,82.97,1.1,47.96,5.76,0,Healthy
Potato,summer,30.71,58.26,0.0,27.09,5.51,10140,Verticillium Wilt
Tomato,summer,32.76,66.98,0.72,35.35,7.25,34704,Healthy
Tomato,summer,32.69,72.81,0.0,52.81,7.06,34589,Healthy
Tomato,summer,28.16,77.54,0.0,26.71,6.32,26230,Fusarium Wilt
Potato,summer,31.4,65.32,0.0,41.47,5.75,18129,Healthy
Potato,summer,25.79,73.11,0.0,44.85,5.5,71,Healthy
Tomato,summer,32.36,68.34,0.0,34.49,7.04,41,Fusarium Wilt
